Hotel No.,Hotel Name,Overall Rating,Overall Polarity,Anomaly?
1,Pan Pacific Singapore Hotel,4.5,4.559732499999998,false
2,"Park Hotel Clarke Quay, Singapore",4.0,4.350355000000002,false
3,"Shangri-La Hotel, Singapore",4.5,4.6937025000000006,false
4,YOTEL Singapore Hotel,4.5,4.271609999999999,false
5,"PARKROYAL COLLECTION Marina Bay, Singapore Hotel",4.0,4.7493399999999975,true
6,"Marina Bay Sands Hotel, Singapore",4.5,4.340820000000001,false
7,Orchard Hotel Singapore,4.5,4.1033475,false
8,The Fullerton Hotel Singapore,4.5,4.708877500000001,false
9,"Park Hotel Alexandra, Singapore",4.5,4.64661,false
10,"PARKROYAL COLLECTION Pickering, Singapore Hotel",4.5,4.084385,true
11,"Grand Park City Hall Hotel, Singapore",4.5,3.84392,true
12,Mandarin Orchard Singapore Hotel,4.0,4.501602499999999,true
13,"Hotel Boss, Singapore",4.0,4.575332500000001,true
14,"Goodwood Park Hotel, Singapore",4.5,4.4773299999999985,false
15,Hotel G Singapore,4.0,4.807007575757577,true
16,"Grand Park Orchard Hotel, Singapore",4.0,4.07684,false
17,Carlton Hotel Singapore,4.0,4.262957500000001,false
18,Dorsett Singapore Hotel,4.0,4.488965,true
19,M Social Singapore Hotel,4.0,4.1346125,false
20,"Park Hotel Farrer Park, Singapore",4.0,4.392725,false
21,Aloft Kuala Lumpur Sentral Hotel,4.5,4.570762500000001,false
22,"The RuMa Hotel and Residences, Kuala Lumpur",5.0,4.581287500000002,true
23,Pavilion Hotel Kuala Lumpur Managed by Banyan Tree,4.5,4.7339875000000005,false
24,Banyan Tree Kuala Lumpur Hotel,4.5,4.817037499999998,false
25,"Mandarin Oriental, Kuala Lumpur Hotel",4.5,4.3827275000000006,false
26,Four Seasons Hotel Kuala Lumpur,4.5,4.77003,false
27,W Kuala Lumpur Hotel,4.5,4.758887500000001,false
28,"Sunway Velocity Hotel, Kuala Lumpur",4.5,4.382344999999998,false
29,Hilton Kuala Lumpur Hotel,4.5,4.465625000000003,false
30,"Sunway Putra Hotel, Kuala Lumpur",4.0,4.725660000000001,true
31,The Majestic Hotel Kuala Lumpur,4.5,4.14312,false
32,"VE Hotel & Residence, Kuala Lumpur",4.0,4.329105000000001,false
33,Royale Chulan Kuala Lumpur Hotel,4.5,3.8846875,true
34,PARKROYAL Serviced Suites Kuala Lumpur Hotel,4.5,4.200124999999999,false
35,Oasia Suites Kuala Lumpur by Far East Hospitality Hotel,4.0,4.0955975,false
36,"Lanson Place Bukit Ceylon Serviced Residences Hotel, Kuala Lumpur",5.0,4.735277500000002,false
37,Pullman Kuala Lumpur City Centre Hotel & Residences,4.5,4.446632499999998,false
38,"Traders Hotel, Kuala Lumpur",4.5,4.478090909090909,false
39,"Komune Living Hotel, Kuala Lumpur",3.5,3.82445,false
40,"Metro Hotel, Kuala Lumpur",3.5,3.8767275000000017,false
41,"Royal Orchid Sheraton Hotel & Towers, Bangkok",4.5,4.5241125,false
42,"The Quarter Ladprao by UHG Hotel, Bangkok",4.5,4.55797,false
43,"The Quarter Ari by UHG Hotel, Bangkok",4.5,4.589507499999999,false
44,SKYVIEW Hotel Bangkok,4.5,4.57263157894737,false
45,Siri Sathorn Bangkok by UHG Hotel,4.5,4.547145000000001,false
46,"Evergreen Place Siam by UHG Hotel, Bangkok",4.5,4.664816666666667,false
47,Renaissance Bangkok Ratchaprasong Hotel,4.5,4.675485,false
48,Millennium Hilton Bangkok Hotel,4.5,4.3511000000000015,false
49,Swissotel Bangkok Ratchada Hotel,4.5,4.6771875000000005,false
50,"Vince Hotel, Bangkok",4.5,4.689244999999999,false
51,"The Cottage Suvarnabhumi Hotel, Bangkok",3.5,4.374942499999999,true
52,Chatrium Hotel Riverside Bangkok,4.5,4.7355875,false
53,"The Quarter Phromphong By UHG Hotel, Bangkok",5.0,4.786712500000001,false
54,"The Quarter Silom by UHG Hotel, Bangkok",5.0,4.895516949152542,false
55,Sindhorn Midtown Hotel Bangkok,5.0,4.793152499999998,false
56,"The Quarter Hualamphong By UHG Hotel, Bangkok",5.0,4.816245000000003,false
57,Banyan Tree Bangkok Hotel,4.5,4.705835000000001,false
58,Carlton Hotel Bangkok Sukhumvit,5.0,4.834829081632654,false
59,"Mandarin Oriental, Bangkok Hotel",5.0,4.798875000000001,false
60,Centara Grand at Central Plaza Ladprao Bangkok Hotel,4.5,4.364854999999999,false
