Hotel No.,Hotel Name,Overall Rating,Overall Polarity
21,Aloft Kuala Lumpur Sentral Hotel,4.5,4.570762500000001
22,"The RuMa Hotel and Residences, Kuala Lumpur",5.0,4.581287500000002
23,Pavilion Hotel Kuala Lumpur Managed by Banyan Tree,4.5,4.7339875000000005
24,Banyan Tree Kuala Lumpur Hotel,4.5,4.817037499999998
25,"Mandarin Oriental, Kuala Lumpur Hotel",4.5,4.3827275000000006
26,Four Seasons Hotel Kuala Lumpur,4.5,4.77003
27,W Kuala Lumpur Hotel,4.5,4.758887500000001
28,"Sunway Velocity Hotel, Kuala Lumpur",4.5,4.382344999999998
29,Hilton Kuala Lumpur Hotel,4.5,4.465625000000003
30,"Sunway Putra Hotel, Kuala Lumpur",4.0,4.725660000000001
31,The Majestic Hotel Kuala Lumpur,4.5,4.14312
32,"VE Hotel & Residence, Kuala Lumpur",4.0,4.329105000000001
33,Royale Chulan Kuala Lumpur Hotel,4.5,3.8846875
34,PARKROYAL Serviced Suites Kuala Lumpur Hotel,4.5,4.200124999999999
35,Oasia Suites Kuala Lumpur by Far East Hospitality Hotel,4.0,4.0955975
36,"Lanson Place Bukit Ceylon Serviced Residences Hotel, Kuala Lumpur",5.0,4.735277500000002
37,Pullman Kuala Lumpur City Centre Hotel & Residences,4.5,4.446632499999998
38,"Traders Hotel, Kuala Lumpur",4.5,4.478090909090909
39,"Komune Living Hotel, Kuala Lumpur",3.5,3.82445
40,"Metro Hotel, Kuala Lumpur",3.5,3.8767275000000017
