Hotel No.,Hotel Name,Overall Rating,Overall Polarity
1,Pan Pacific Singapore Hotel,4.5,4.559732499999998
2,"Park Hotel Clarke Quay, Singapore",4.0,4.350355000000002
3,"Shangri-La Hotel, Singapore",4.5,4.6937025000000006
4,YOTEL Singapore Hotel,4.5,4.271609999999999
5,"PARKROYAL COLLECTION Marina Bay, Singapore Hotel",4.0,4.7493399999999975
6,"Marina Bay Sands Hotel, Singapore",4.5,4.340820000000001
7,Orchard Hotel Singapore,4.5,4.1033475
8,The Fullerton Hotel Singapore,4.5,4.708877500000001
9,"Park Hotel Alexandra, Singapore",4.5,4.64661
10,"PARKROYAL COLLECTION Pickering, Singapore Hotel",4.5,4.084385
11,"Grand Park City Hall Hotel, Singapore",4.5,3.84392
12,Mandarin Orchard Singapore Hotel,4.0,4.501602499999999
13,"Hotel Boss, Singapore",4.0,4.575332500000001
14,"Goodwood Park Hotel, Singapore",4.5,4.4773299999999985
15,Hotel G Singapore,4.0,4.807007575757577
16,"Grand Park Orchard Hotel, Singapore",4.0,4.07684
17,Carlton Hotel Singapore,4.0,4.262957500000001
18,Dorsett Singapore Hotel,4.0,4.488965
19,M Social Singapore Hotel,4.0,4.1346125
20,"Park Hotel Farrer Park, Singapore",4.0,4.392725
