,User Ratings,User Reviews,Name,Overall Rating
0,5.0,"There was a hiccup with the room or suite which I was allocated to until the Room Director Rojana came to salvage the entire situation and turned my experience into a warmth and fuzzy welcome with her professionalism and she exuded a calm collected manner! However, it didn’t end there. I lost my mobile phone and everyone including the kind security checked the cctv helped me! I finally managed to retrieve my cell phone!I cannot Thank enough every staffs here in this Hotel for their patience, kindness and impeccable services from the Heart! They have even baked a chocolate birthday cake for my son’s birthday! My gratitude towards them cannot express with words alone! They have certainly taken the 5 Stars services from the Heart to a whole new different level! They can indeed stand toe to toe at any day, any time with any International 5 Stars Hospitality! Please Thank Rojana and her team of staffs- David  and Cindy too on my behalf! They are definitely an Asset to any Hospitality business they choose to work with!Eric Room 1827/6",Renaissance Bangkok Ratchaprasong Hotel,4.5
1,5.0,"My daughter got a surprise chocolates after check-in. Thank you to front office team for arranging the amenities. By the way, thank you to Khun Mew for arranging the reservation for us as well. Me and my family so joyful to stay here! I will definitely come back for sure. ",Renaissance Bangkok Ratchaprasong Hotel,4.5
2,5.0,"== People ==This is my 5th Marriott hotels in Bangkok, which is great for the overall services.I have great impression while the arrival, bell boy is proactive, and front desk guided me to the R Bar for check in (Club Lounge is temporarily closed for renovation). The club team is very attentive, K Ploy gave us very warm welcoming and the nice room arrangement. The whole process is very smooth. I would like to thanks for the Club Manger K One and her team, they take care of the club guest well, and handled the incident with prompt action and properly.== Room ==Thanks to the Club team arrangement, we stay at a nice Studio Suite this time. The room with high ceiling, thus even it a bit aged, you still fell very specious. The bathroom is see through and with a big window, also feel comfortable while using the it.Housing keeping team did a great job to give us comfy room, the most touched thing is they provided the nice toothpaste for our long stay when we told them we don’t want to waste the toothbrush by just using the toothpaste attached. Only concern is the sofa by side of the window, the surface may need some retouch, suggest to make it wider while the renovation, then it can be a great day bed in the room. == Facility ==Great thing is the fitness open 24hours, good for me to do the cardio in the early morning. Swimming pool looks nice, but didn’t have chance to use this time.== F&B==One of the best breakfasts of the Marriott hotels in Bangkok, admire the wide variety of the food, as well as the pastry corner, almond and chocolate croissant are great, but egg stations’ quality seems not consistent.",Renaissance Bangkok Ratchaprasong Hotel,4.5
3,3.0,You gotta love the location of the hotel-in the middle of everywhere in BKK. Nice and comfy bed. The amenities are not bad but not my favourite-too faminine. Super slow food at R Bar. The aircon in male’s locker room definitely needs to be fixed/deep cleaned. ,Renaissance Bangkok Ratchaprasong Hotel,4.5
4,5.0,Great services as always. Breakfast especially cheese omelette by Chef Roong is the best. Khun June at Flavor always gives you morning smile. Service and Refreshment at the club lounge is quite good when not so crowded. Food and services at La Tavola and Feiya are great. Recommend for a short break. ,Renaissance Bangkok Ratchaprasong Hotel,4.5
5,5.0,"I felt excited every time to come back to stay at this hotel as its exceptional friendly and nice staff made me feel welcome and special. It was just like I was back to meet old friends. One of the most enjoyable time while staying here was during the relaxing times in the lounge to enjoy great food & beverage, while chit chatting to staff. Apart from Kwan, Ploy, Aey, Chacha, Kevin, Chef Jack whom I was familiar with, this time I also met Khun Wan, the club lounge manager. She was so active and attentive to guests’ request that I had no surprise why the lounge staff were impressive. Although I had no chance to meet Min, who was able to please you with, not only the standard alcohol drinks, but also some special drinks from her mixing skill, her lively and smiling faces when she handed in her specially mixed drinks with proud remained in my mind. She even said that she would keep practicing her drink mixing skill more and more in order to make her guests smile with happiness. What a nice lady!On the checking-out day, I always think to myself that ‘wait for me and I will come back soon’.This property is highly recommended for travelers who looks for great place to stay in the centre of Bangkok with full of fantastic staff who is prompt to offer the second-to-none quality of services.",Renaissance Bangkok Ratchaprasong Hotel,4.5
6,5.0,The service in the hotel was polite & friendly. The room and beds were comfortable. And great location that easy to access anywhere in bangkok. Thank you to reservation team to make it fast and convenient for the booking as well as the front line service. Thank you very much and keep it up your good work !!! ,Renaissance Bangkok Ratchaprasong Hotel,4.5
7,3.0,"It’s my first time staying at this hotel. So I had a little expectation before going.The hotel is easy access from BTS Chidlom station with convenience stores nearby. Walking distance to Central World and Siam Paragon. My friend and I stayed at Deluxe room with club benefits from Marriott’s. Unfortunately club lounge on a high floor was temporarily closed for renovations so we spent time at ground floor bar instead. Luckily we still had some snacks to enjoy. The bed size is perfect and soft. The wild clear window can see througc bathroom is good for staying alone and couples lol. But the room was a little bit old for the electric stuffs, no USB and still need to use ight switch. Staffs are friendly and helpful but there were a traffic during snacks time at ground floor. The staffs were lack and seats were limited while guests were many. Breakfast was good. Restaurant staffs were friendly. It’s good that they serve orange juice with shot of espresso, well adjustment. Unfortunately I didn’t had a chance to try other restaurants in a hotel.",Renaissance Bangkok Ratchaprasong Hotel,4.5
8,5.0,"I stayed in the hotel during new year's eve. The hotel was extremely packed and the staffs are extremely busy with the guests. However, the staffs still able to deliver a top notch experience for me. The hotel is one of my most favorite staycation destination in Bangkok. This is not my first visit and definitely not my last",Renaissance Bangkok Ratchaprasong Hotel,4.5
9,5.0,"The promotional rate during Covid-19 was almost nothing so we didn't expect much at all. However, it turned out to be one of the best workation experiences. The check-in lady, Khun Dew, kindly upgraded the room the next day when it became available. We were greeted by first name with big smile by most staffs everywhere in the hotel. Our special thanks go to Khun One, Khun Kwan, and Khun Kevin who were always there especially around the club lounge. Khun One is highly professional, she manages the club lounge effectively with friendly vibes, making guests feel very much like home. Breakfast is one of the best in town. Loved the signature egg benedict with curry sauce. Must try! The afternoon tea and canapes times (rather think of it as late lunch and dinner), were always of high quality and tasty and it includes alcohol too! We also used the gym situated on high floor with the view of Bangkok skyline. I particularly like the pool because it is temperature controlled with heater. Will definitely return.",Renaissance Bangkok Ratchaprasong Hotel,4.5
